
Keyword: refugees fleeing syria	score: 5.06666666667
Keyword: iraqi army	score: 5.0
Keyword: left unattended	score: 5.0
Keyword: airline security	score: 5.0
Keyword: special operators	score: 5.0
Keyword: foreign fighters	score: 5.0
Keyword: counterterrorism services	score: 4.92857142857
Keyword: syrian refugees	score: 4.92307692308
Keyword: syrian refugee	score: 4.92307692308
Keyword: terrorist groups	score: 4.91666666667
Keyword: international community	score: 4.9
Keyword: safe space	score: 4.875
Keyword: global economy	score: 4.83333333333
Keyword: common approach	score: 4.83333333333
Keyword: global scale	score: 4.83333333333
Keyword: syrian state	score: 4.81196581197
Keyword: deny isis control	score: 4.77083333333
Keyword: military force	score: 4.75
Keyword: includes affiliates	score: 4.75
Keyword: terrorist financing	score: 4.70833333333
Keyword: terrorist threats	score: 4.70833333333
Keyword: growing influence	score: 4.7
Keyword: bob gates	score: 4.66666666667
Keyword: full partner	score: 4.66666666667
Keyword: full bloom	score: 4.66666666667
Keyword: al qaida	score: 4.65079365079
Keyword: president obama	score: 4.64772727273
Keyword: syrian side	score: 4.58974358974
Keyword: defense officials	score: 4.58333333333
Keyword: terrorist accounts	score: 4.58333333333
Keyword: terrorist arrived	score: 4.58333333333
Keyword: 000 american troops	score: 4.5641025641
Keyword: opposition forces	score: 4.53333333333
Keyword: cross borders	score: 4.5
Keyword: dayton accord	score: 4.5
Keyword: immediately deploy	score: 4.5
Keyword: force families	score: 4.5
Keyword: shiite force	score: 4.5
Keyword: bringing sunnis	score: 4.5
Keyword: big obstacle	score: 4.5
Keyword: supporting countries	score: 4.5
Keyword: effective fight	score: 4.4880952381
Keyword: counterterrorism professionals	score: 4.42857142857
Keyword: paris attacks	score: 4.42857142857
Keyword: good intelligence	score: 4.40909090909
Keyword: broader view	score: 4.4
Keyword: broader reading	score: 4.4
Keyword: civil society	score: 4.4
Keyword: international crisis	score: 4.4
Keyword: united states	score: 4.38888888889
Keyword: iranian backers	score: 4.33333333333
Keyword: hardened fighters	score: 4.33333333333
Keyword: muslim immigrant	score: 4.33333333333
Keyword: troops advising	score: 4.33333333333
Keyword: extraordinary effort	score: 4.33333333333
Keyword: muslim americans	score: 4.33333333333
Keyword: lassana risked	score: 4.33333333333
Keyword: concerted effort	score: 4.33333333333
Keyword: eventually end	score: 4.33333333333
Keyword: comprehensive plan	score: 4.33333333333
Keyword: republican president	score: 4.27272727273
Keyword: arab spring	score: 4.2619047619
Keyword: network security	score: 4.25
Keyword: fighting force	score: 4.25
Keyword: french officials	score: 4.25
Keyword: military aircraft	score: 4.25
Keyword: greater extent	score: 4.25
Keyword: regional politics	score: 4.25
Keyword: american counterparts	score: 4.23076923077
Keyword: humanitarian disaster	score: 4.2
Keyword: great democracies	score: 4.2
Keyword: national guard	score: 4.2
Keyword: humanitarian crisis	score: 4.2
Keyword: republican opposition	score: 4.2
Keyword: national reconciliation	score: 4.2
Keyword: cultural influence	score: 4.2
Keyword: great fanfare	score: 4.2
Keyword: humanitarian relief	score: 4.2
Keyword: national interests	score: 4.2
Keyword: national security	score: 4.2
Keyword: fly zone	score: 4.18181818182
Keyword: iraqi side	score: 4.16666666667
Keyword: common enemy	score: 4.16666666667
Keyword: united kingdom	score: 4.16666666667
Keyword: military intelligence	score: 4.15909090909
Keyword: intelligence officials	score: 4.15909090909
Keyword: terrorist attack	score: 4.15476190476
Keyword: international coalition	score: 4.13333333333
Keyword: homegrown threats	score: 4.125
Keyword: saudi financing	score: 4.125
Keyword: sunni awakening	score: 4.125
Keyword: local people	score: 4.12380952381
Keyword: inside iraq	score: 4.11764705882
Keyword: counterterrorism coordination	score: 4.09523809524
Keyword: fly zones	score: 4.09090909091
Keyword: political transition	score: 4.08333333333
Keyword: political house	score: 4.08333333333
Keyword: groups fighting	score: 4.08333333333
Keyword: political solution	score: 4.08333333333
Keyword: political chaos	score: 4.08333333333
Keyword: terrorist proxies	score: 4.08333333333
Keyword: preventing attacks	score: 4.07142857143
Keyword: syrian kurds	score: 4.06593406593
Keyword: support local	score: 4.04444444444
Keyword: american power	score: 4.03076923077
Keyword: severe limitation	score: 4.0
Keyword: limited extent	score: 4.0
Keyword: supply lines	score: 4.0
Keyword: saudi individuals	score: 4.0
Keyword: target interventions	score: 4.0
Keyword: young man	score: 4.0
