
Keyword: senator shaheen	score: 4.11764705882
Keyword: great team	score: 4.1
Keyword: great joy	score: 4.1
Keyword: great pictures	score: 4.1
Keyword: feels great	score: 4.1
Keyword: great recession	score: 4.1
Keyword: american opportunity	score: 4.08333333333
Keyword: american people	score: 4.05
Keyword: selective service	score: 4.04761904762
Keyword: president obama	score: 4.03726708075
Keyword: prescribe opioids	score: 4.0
Keyword: rudy giuliani	score: 4.0
Keyword: scripture lesson	score: 4.0
Keyword: extensive set	score: 4.0
Keyword: called hillarycare	score: 4.0
Keyword: sweat shirt	score: 4.0
Keyword: elderly dealing	score: 4.0
Keyword: auto industry	score: 4.0
Keyword: special forces	score: 4.0
Keyword: testimony excerpts	score: 4.0
Keyword: governor shumlin	score: 4.0
Keyword: colon cancer	score: 4.0
Keyword: governor hassan	score: 4.0
Keyword: higher percentage	score: 4.0
Keyword: vested interests	score: 4.0
Keyword: fundamentally disagree	score: 4.0
Keyword: juveniles incarcerated	score: 4.0
Keyword: explicit appeal	score: 4.0
Keyword: hang tough	score: 4.0
Keyword: harry truman	score: 4.0
Keyword: criminal liability	score: 4.0
Keyword: countrywide mortgage	score: 4.0
Keyword: negative attack	score: 4.0
Keyword: occasion arises	score: 4.0
Keyword: gather information	score: 4.0
Keyword: north africa	score: 4.0
Keyword: saved millions	score: 4.0
Keyword: public arena	score: 4.0
Keyword: nancy pelosi	score: 4.0
Keyword: capitol hill	score: 4.0
Keyword: long list	score: 4.0
Keyword: gun lobby	score: 4.0
Keyword: expert analysis	score: 4.0
Keyword: brutal business	score: 4.0
Keyword: chelsea brings	score: 4.0
Keyword: essentially august	score: 4.0
Keyword: navy seals	score: 4.0
Keyword: terrorist organizations â	score: 4.0
Keyword: jeanne shaheen	score: 4.0
Keyword: infantry officers	score: 4.0
Keyword: magnificent writer	score: 4.0
Keyword: deep concern	score: 4.0
Keyword: biggest gift	score: 4.0
Keyword: biggest differences	score: 4.0
Keyword: baseball cap	score: 4.0
Keyword: south carolina	score: 4.0
Keyword: odds favoring	score: 4.0
Keyword: concord monitor	score: 4.0
Keyword: medical professionals	score: 4.0
Keyword: citizens united	score: 4.0
Keyword: blanket statement	score: 4.0
Keyword: kneejerk reaction	score: 4.0
Keyword: terrorist threat	score: 4.0
Keyword: opens doors	score: 4.0
Keyword: strong feelings	score: 4.0
Keyword: ultimate accomplishment	score: 4.0
Keyword: gun violence	score: 4.0
Keyword: called inversion	score: 4.0
Keyword: status quo	score: 4.0
Keyword: plead guilty	score: 4.0
Keyword: special interests	score: 4.0
Keyword: literally stops	score: 4.0
Keyword: karl rove	score: 4.0
Keyword: army rangers	score: 4.0
Keyword: political system	score: 4.0
Keyword: marine corps	score: 4.0
Keyword: called obamacare	score: 4.0
Keyword: factual basis	score: 4.0
Keyword: word terminal	score: 4.0
Keyword: arms race	score: 4.0
Keyword: public dealing	score: 4.0
Keyword: super pac	score: 4.0
Keyword: joe biden	score: 4.0
Keyword: alison pyott	score: 4.0
Keyword: goldman sachs	score: 4.0
Keyword: married father	score: 4.0
Keyword: sweat pants	score: 4.0
Keyword: perversely flattering	score: 4.0
Keyword: recovery programs	score: 4.0
Keyword: beautiful towns	score: 4.0
Keyword: litmus tests	score: 4.0
Keyword: car crashes	score: 4.0
Keyword: spasm relief	score: 4.0
Keyword: scientific writings	score: 4.0
Keyword: political tactics	score: 4.0
Keyword: unstable nations	score: 4.0
Keyword: senator sanders	score: 3.91764705882
Keyword: republican candidates	score: 3.91666666667
Keyword: 90 percent coverage	score: 3.91666666667
Keyword: meet mr	score: 3.875
Keyword: real benefits	score: 3.85714285714
Keyword: lgbt americans	score: 3.83333333333
Keyword: absolutely wrong	score: 3.83333333333
Keyword: nation primary	score: 3.8
Keyword: big banks	score: 3.79166666667
Keyword: mortgage issues	score: 3.75
Keyword: wing attacks	score: 3.75
Keyword: million kids	score: 3.75
Keyword: mentioned attacks	score: 3.75
Keyword: public issues	score: 3.75
Keyword: human questions	score: 3.73333333333
Keyword: brutal experience	score: 3.71428571429
Keyword: secret service	score: 3.71428571429
Keyword: theological concerns	score: 3.66666666667
Keyword: years ago	score: 3.66666666667
Keyword: run ads	score: 3.66666666667
Keyword: free world	score: 3.66666666667
Keyword: kitchen table	score: 3.66666666667
Keyword: pretty pumped	score: 3.66666666667
Keyword: valeant pharmaceuticals	score: 3.66666666667
Keyword: negotiating table	score: 3.66666666667
Keyword: based prosperity	score: 3.66666666667
Keyword: closing argument	score: 3.66666666667
Keyword: final thing	score: 3.66666666667
Keyword: litmus test	score: 3.66666666667
Keyword: turing pharmaceuticals	score: 3.66666666667
Keyword: elected officials	score: 3.66666666667
Keyword: pretty incredible	score: 3.66666666667
Keyword: strange argument	score: 3.66666666667
Keyword: young women	score: 3.66666666667
Keyword: military action	score: 3.64285714286
Keyword: female president	score: 3.60869565217
Keyword: tough campaign	score: 3.6
Keyword: great year	score: 3.6
Keyword: great accomplishments	score: 3.6
Keyword: campaign finance	score: 3.6
Keyword: hillary clinton	score: 3.58955223881
Keyword: personal issues	score: 3.58333333333
Keyword: mind taking	score: 3.57142857143
Keyword: good side	score: 3.55
Keyword: hard decisions	score: 3.53333333333
Keyword: real world	score: 3.52380952381
Keyword: solid core	score: 3.5
Keyword: woman grabbed	score: 3.5
Keyword: reverse overdose	score: 3.5
Keyword: strong piece	score: 3.5
Keyword: uphill climb	score: 3.5
Keyword: respectful conversation	score: 3.5
Keyword: qualified women	score: 3.5
Keyword: dave skinell	score: 3.5
Keyword: unfortunate network	score: 3.5
Keyword: incomes rising	score: 3.5
Keyword: wider group	score: 3.5
Keyword: religious writings	score: 3.5
Keyword: wing conspiracy	score: 3.5
Keyword: aids medicine	score: 3.5
Keyword: impose sanctions	score: 3.5
Keyword: famous women	score: 3.5
Keyword: small donors	score: 3.5
Keyword: revisit healthcare	score: 3.5
Keyword: schedule ii	score: 3.5
