
Keyword: common ground	score: 3.5
Keyword: turning point	score: 3.5
Keyword: lost children	score: 3.5
Keyword: single caucus	score: 3.5
Keyword: ground troops	score: 3.5
Keyword: progressive democrat	score: 3.5
Keyword: single primary	score: 3.5
Keyword: climbing ropes	score: 3.5
Keyword: great interview	score: 3.5
Keyword: washington post	score: 3.5
Keyword: strong feelings	score: 3.5
Keyword: white house	score: 3.5
Keyword: identity thief	score: 3.5
Keyword: speak anymore	score: 3.5
Keyword: young woman	score: 3.44444444444
Keyword: reward people	score: 3.41666666667
Keyword: prevent people	score: 3.41666666667
Keyword: republican president	score: 3.41666666667
Keyword: lose 90 people	score: 3.41666666667
Keyword: kill people	score: 3.41666666667
Keyword: telling people	score: 3.41666666667
Keyword: people awake	score: 3.41666666667
Keyword: economy working	score: 3.4
Keyword: finally making	score: 3.33333333333
Keyword: wrong hands	score: 3.33333333333
Keyword: president bush	score: 3.33333333333
Keyword: supporting troops	score: 3.33333333333
Keyword: president announced	score: 3.33333333333
Keyword: russians flying	score: 3.33333333333
Keyword: combatting terrorism	score: 3.33333333333
Keyword: general approach	score: 3.33333333333
Keyword: bit daunting	score: 3.33333333333
Keyword: promote women	score: 3.3125
Keyword: big stuff	score: 3.3
Keyword: hardest time	score: 3.28571428571
Keyword: reporters talk	score: 3.27272727273
Keyword: situation room	score: 3.26666666667
Keyword: hawkish side	score: 3.26666666667
Keyword: solve problems	score: 3.25
Keyword: great job	score: 3.25
Keyword: york city	score: 3.25
Keyword: beat bernie	score: 3.25
Keyword: job interview	score: 3.25
Keyword: make deals	score: 3.2
Keyword: world stage	score: 3.16666666667
Keyword: years ago	score: 3.14285714286
Keyword: trump started	score: 3.1
Keyword: muslim people	score: 3.08333333333
Keyword: hillary clinton	score: 3.02631578947
Keyword: interesting happened	score: 3.0
Keyword: muslim americans	score: 3.0
Keyword: ve met	score: 3.0
Keyword: watching part	score: 3.0
Keyword: women watching	score: 2.97916666667
Keyword: thingsâtrump	score: 2.975
Keyword: great question	score: 2.95
Keyword: important culturally	score: 2.875
Keyword: woman doesn	score: 2.87301587302
Keyword: woman commander	score: 2.84444444444
Keyword: president reagan	score: 2.83333333333
Keyword: making progress	score: 2.83333333333
Keyword: people working	score: 2.81666666667
Keyword: clear time	score: 2.78571428571
Keyword: important part	score: 2.70833333333
Keyword: people don	score: 2.68939393939
Keyword: people talk	score: 2.68939393939
Keyword: support	score: 2.66666666667
Keyword: country campaigning	score: 2.61111111111
Keyword: feel ready	score: 2.53333333333
Keyword: bill clinton	score: 2.52631578947
Keyword: credit	score: 2.5
Keyword: give	score: 2.5
Keyword: york senator	score: 2.5
Keyword: shia	score: 2.5
Keyword: important work	score: 2.475
Keyword: president clinton	score: 2.35964912281
Keyword: school	score: 2.33333333333
Keyword: army	score: 2.33333333333
Keyword: air	score: 2.33333333333
Keyword: gun	score: 2.27272727273
Keyword: american	score: 2.2
Keyword: states	score: 2.14285714286
Keyword: united	score: 2.14285714286
Keyword: republican	score: 2.08333333333
Keyword: choice	score: 2.0
Keyword: troops	score: 2.0
Keyword: remember	score: 2.0
Keyword: free	score: 2.0
Keyword: secretary	score: 2.0
Keyword: pretty	score: 2.0
Keyword: morning	score: 2.0
Keyword: anymore	score: 2.0
Keyword: administration	score: 2.0
Keyword: candidate	score: 2.0
Keyword: read	score: 2.0
Keyword: alliance	score: 2.0
Keyword: coming	score: 1.83333333333
Keyword: safe	score: 1.8
Keyword: big	score: 1.8
Keyword: bernie	score: 1.75
Keyword: great	score: 1.75
Keyword: interview	score: 1.75
