
Keyword: military capabilities	score: 4.58333333333
Keyword: israeli security	score: 4.57142857143
Keyword: secretary moniz	score: 4.56666666667
Keyword: nuclear program	score: 4.54032258065
Keyword: fire power	score: 4.5
Keyword: stronger overseas	score: 4.5
Keyword: staying power	score: 4.5
Keyword: bilateral channel	score: 4.5
Keyword: american diplomats	score: 4.5
Keyword: thanking hillary	score: 4.5
Keyword: diplomatic channel	score: 4.5
Keyword: american channel	score: 4.5
Keyword: american muscle	score: 4.5
Keyword: terrorist groups	score: 4.45
Keyword: security council	score: 4.42857142857
Keyword: security challenge	score: 4.42857142857
Keyword: provide security	score: 4.42857142857
Keyword: regional interests	score: 4.4
Keyword: america leads	score: 4.38888888889
Keyword: greater goal	score: 4.33333333333
Keyword: twisting arms	score: 4.33333333333
Keyword: additional protocol	score: 4.33333333333
Keyword: military force	score: 4.33333333333
Keyword: constant threat	score: 4.33333333333
Keyword: greater danger	score: 4.33333333333
Keyword: prevent aircrafts	score: 4.33333333333
Keyword: additional steps	score: 4.33333333333
Keyword: iranian aggression	score: 4.33333333333
Keyword: proliferation treaty	score: 4.33333333333
Keyword: mind taking	score: 4.33333333333
Keyword: nuclear ambitions	score: 4.29032258065
Keyword: nuclear physicist	score: 4.29032258065
Keyword: nuclear weapon	score: 4.29032258065
Keyword: nuclear capability	score: 4.29032258065
Keyword: tough love	score: 4.25
Keyword: speaking toughâ	score: 4.25
Keyword: interests remain	score: 4.25
Keyword: russian investment	score: 4.25
Keyword: restrictions expire	score: 4.25
Keyword: net positive	score: 4.25
Keyword: positive outcomes	score: 4.25
Keyword: regional strategy	score: 4.23333333333
Keyword: united states	score: 4.2316017316
Keyword: terrorist organization	score: 4.2
Keyword: american sanctions	score: 4.19230769231
Keyword: american team	score: 4.16666666667
Keyword: larger strategy	score: 4.16666666667
Keyword: republican histamines	score: 4.16666666667
Keyword: taking nuclear	score: 4.12365591398
Keyword: real sense	score: 4.11111111111
Keyword: international community	score: 4.11111111111
Keyword: international relations	score: 4.11111111111
Keyword: real objective	score: 4.11111111111
Keyword: real fears	score: 4.11111111111
Keyword: real warning	score: 4.11111111111
Keyword: real bridge	score: 4.11111111111
Keyword: real problems	score: 4.11111111111
Keyword: real seriousness	score: 4.11111111111
Keyword: iranian noncompliance	score: 4.08333333333
Keyword: iranian election	score: 4.08333333333
Keyword: iranian defiance	score: 4.08333333333
Keyword: military resources	score: 4.08333333333
Keyword: comprehensive strategy	score: 4.08333333333
Keyword: madam secretary	score: 4.06666666667
Keyword: nuclear facilities	score: 4.04032258065
Keyword: military support	score: 4.03333333333
Keyword: junk agreements	score: 4.0
Keyword: action required	score: 4.0
Keyword: sound appealing	score: 4.0
Keyword: cuba closed	score: 4.0
Keyword: direct result	score: 4.0
Keyword: delayed access	score: 4.0
Keyword: false distinction	score: 4.0
Keyword: political transition	score: 4.0
Keyword: lose sight	score: 4.0
Keyword: gain access	score: 4.0
Keyword: supply chain	score: 4.0
Keyword: revolutionary guard	score: 4.0
Keyword: paying attention	score: 4.0
Keyword: marco rubio	score: 4.0
Keyword: huge gathering	score: 4.0
Keyword: scott walker	score: 4.0
Keyword: strategic discipline	score: 4.0
Keyword: closest aids	score: 4.0
Keyword: digging deep	score: 4.0
Keyword: south korea	score: 4.0
Keyword: frequent consultation	score: 4.0
Keyword: south africa	score: 4.0
Keyword: strategic decision	score: 4.0
Keyword: foment terror	score: 4.0
Keyword: saudi arabia	score: 4.0
Keyword: rigorous conversations	score: 4.0
Keyword: full range	score: 4.0
Keyword: resist denigrating	score: 4.0
Keyword: mixed picture	score: 4.0
Keyword: common concert	score: 4.0
Keyword: secret channel	score: 4.0
Keyword: companies linked	score: 4.0
Keyword: cases enhanced	score: 4.0
Keyword: naval forces	score: 4.0
Keyword: smart choices	score: 4.0
Keyword: berlin wall	score: 4.0
Keyword: vital interests	score: 4.0
Keyword: candid dialogue	score: 4.0
Keyword: deeply concerned	score: 4.0
Keyword: severely diminished	score: 4.0
Keyword: bedrock principles	score: 4.0
Keyword: strategic pillars	score: 4.0
Keyword: bob einhorn	score: 4.0
Keyword: ideological divide	score: 4.0
Keyword: special imperative	score: 4.0
Keyword: gurney press	score: 4.0
Keyword: ships owned	score: 4.0
Keyword: hungry consumers	score: 4.0
Keyword: partisan atmosphere	score: 4.0
Keyword: chuck schumer	score: 4.0
Keyword: powerful series	score: 4.0
Keyword: biggest problems	score: 4.0
Keyword: starting point	score: 4.0
Keyword: bad behavior	score: 4.0
Keyword: internal problems	score: 4.0
Keyword: unprecedented access	score: 4.0
Keyword: political prisoners	score: 4.0
Keyword: continuing destabilization	score: 4.0
Keyword: installed thousands	score: 4.0
Keyword: greatest privileges	score: 4.0
Keyword: small violations	score: 4.0
Keyword: pledging conference	score: 4.0
Keyword: expedite negotiations	score: 4.0
Keyword: organizing principles	score: 4.0
Keyword: genuinely skeptical	score: 4.0
Keyword: negotiations began	score: 4.0
Keyword: advocate vigorously	score: 4.0
Keyword: direct combat	score: 4.0
Keyword: waver depending	score: 4.0
Keyword: expressed concern	score: 4.0
