
Keyword: toughest problems	score: 4.0
Keyword: cut waste	score: 4.0
Keyword: defining threats	score: 4.0
Keyword: mexican farmworkers	score: 4.0
Keyword: north korea	score: 4.0
Keyword: balanced budget	score: 4.0
Keyword: cleaned letting	score: 4.0
Keyword: mom lived	score: 4.0
Keyword: compelling argument	score: 4.0
Keyword: washington catch	score: 4.0
Keyword: minimum wage	score: 4.0
Keyword: greener buildings	score: 4.0
Keyword: political process	score: 4.0
Keyword: broader horizons	score: 4.0
Keyword: law student	score: 4.0
Keyword: opponent alike	score: 4.0
Keyword: financial crash	score: 4.0
Keyword: adoption system	score: 4.0
Keyword: great recession	score: 4.0
Keyword: methodist church	score: 4.0
Keyword: quick buck â	score: 4.0
Keyword: left shoulder	score: 4.0
Keyword: united nations	score: 4.0
Keyword: trouble spots	score: 4.0
Keyword: quick trades	score: 4.0
Keyword: police officers	score: 4.0
Keyword: expanding childcare	score: 4.0
Keyword: cyber attacks	score: 4.0
Keyword: civil liberties	score: 4.0
Keyword: bin laden	score: 4.0
Keyword: barely budged	score: 4.0
Keyword: youngest candidate	score: 4.0
Keyword: unaccountable money	score: 4.0
Keyword: organized scholarships	score: 4.0
Keyword: special privilege	score: 4.0
Keyword: political system	score: 4.0
Keyword: quality childcare	score: 4.0
Keyword: higher wages	score: 4.0
Keyword: continuing rendezvous	score: 4.0
Keyword: citizens united	score: 4.0
Keyword: citizens alike	score: 4.0
Keyword: borrowed money	score: 4.0
Keyword: endless flow	score: 4.0
Keyword: extreme partisanship	score: 4.0
Keyword: supreme court	score: 4.0
Keyword: private sector	score: 4.0
Keyword: wages stagnate	score: 4.0
Keyword: mississippi delta	score: 4.0
Keyword: advanced biofuels	score: 4.0
Keyword: additional advantage	score: 4.0
Keyword: human rights	score: 4.0
Keyword: sell bonds	score: 4.0
Keyword: broadband brought	score: 4.0
Keyword: requires investing	score: 4.0
Keyword: constitutional amendment	score: 4.0
Keyword: breakfast nook	score: 4.0
Keyword: false promises	score: 4.0
Keyword: arrange childcare	score: 4.0
Keyword: produces results	score: 4.0
Keyword: crushing burden	score: 4.0
Keyword: confident leadership	score: 4.0
Keyword: unmatched aspirations	score: 4.0
Keyword: additional fees	score: 4.0
Keyword: exercise creative	score: 4.0
Keyword: unique pressures	score: 4.0
Keyword: great debate	score: 4.0
Keyword: understandable question	score: 4.0
Keyword: legacy lifted	score: 4.0
Keyword: distressed communities	score: 4.0
Keyword: class status	score: 4.0
Keyword: inclusive society	score: 4.0
Keyword: young people	score: 3.94202898551
Keyword: inspired people	score: 3.94202898551
Keyword: 16 million americans	score: 3.9347826087
Keyword: inspired presidents	score: 3.83333333333
Keyword: young girl	score: 3.83333333333
Keyword: economy requires	score: 3.83333333333
Keyword: lost confidence	score: 3.83333333333
Keyword: brave men	score: 3.83333333333
Keyword: white house	score: 3.83333333333
Keyword: ve made	score: 3.8
Keyword: term profit	score: 3.8
Keyword: ve heard	score: 3.8
Keyword: ve stood	score: 3.8
