
Keyword: collect guns	score: 3.25
Keyword: large part	score: 3.16666666667
Keyword: mails coming	score: 3.16666666667
Keyword: dadâquoteâ	score: 3.16666666667
Keyword: government employee	score: 3.14285714286
Keyword: real time	score: 3.07142857143
Keyword: mail address	score: 3.0
Keyword: decisions made	score: 2.93333333333
Keyword: made recommendations	score: 2.83333333333
Keyword: put forward	score: 2.75
Keyword: republicans put	score: 2.625
Keyword: happened years	score: 2.55769230769
Keyword: rules allowed	score: 2.53333333333
Keyword: john	score: 2.5
Keyword: stuff	score: 2.5
Keyword: laws	score: 2.5
Keyword: sensitive	score: 2.4
Keyword: information	score: 2.36363636364
Keyword: review	score: 2.33333333333
Keyword: president	score: 2.0
Keyword: including	score: 2.0
Keyword: nordstrom	score: 2.0
Keyword: college	score: 2.0
Keyword: sanders	score: 2.0
Keyword: person	score: 2.0
Keyword: classified	score: 1.9375
Keyword: marked	score: 1.83333333333
Keyword: state	score: 1.83333333333
Keyword: benghazi	score: 1.75
Keyword: professionals	score: 1.75
Keyword: great	score: 1.66666666667
