
Keyword: investigative reports documenting continuing discrimination	score: 23.5
Keyword: century ago	score: 4.0
Keyword: clearance provisions	score: 4.0
Keyword: national office	score: 4.0
Keyword: minority neighborhoods	score: 4.0
Keyword: paper records	score: 4.0
Keyword: equally exciting	score: 4.0
Keyword: automatically registered	score: 4.0
Keyword: scorched earth	score: 4.0
Keyword: criminal convictions	score: 4.0
Keyword: actively choose	score: 4.0
Keyword: shaken confidence	score: 4.0
Keyword: unstoppable congresswoman	score: 4.0
Keyword: fairer nation	score: 4.0
Keyword: lost protections	score: 4.0
Keyword: election day	score: 4.0
Keyword: federal crime	score: 4.0
Keyword: entire nation	score: 4.0
Keyword: native americans	score: 4.0
Keyword: inhibit americans	score: 4.0
Keyword: position working	score: 4.0
Keyword: god bless	score: 4.0
Keyword: profound moment	score: 4.0
Keyword: worst provisions	score: 4.0
Keyword: earlier age	score: 4.0
Keyword: cruel ironyâ	score: 4.0
Keyword: election dates	score: 4.0
Keyword: great treat	score: 4.0
Keyword: rosemary mcgowan	score: 4.0
Keyword: profound impact	score: 4.0
Keyword: federal holiday	score: 4.0
Keyword: courageous men	score: 4.0
Keyword: sending flyers	score: 4.0
Keyword: yelling directions	score: 4.0
Keyword: 18th district	score: 4.0
Keyword: election fraud	score: 4.0
Keyword: jump higher	score: 4.0
Keyword: horrific storm	score: 4.0
Keyword: covered jurisdictions	score: 4.0
Keyword: campaign lawyer	score: 3.83333333333
Keyword: polling places	score: 3.83333333333
Keyword: local community	score: 3.83333333333
Keyword: young women	score: 3.75
Keyword: irresistible voice	score: 3.75
Keyword: voice counts	score: 3.75
Keyword: pioneering work	score: 3.75
Keyword: law school	score: 3.75
Keyword: american voters	score: 3.70833333333
Keyword: historic institution	score: 3.66666666667
Keyword: american citizens	score: 3.625
Keyword: american history	score: 3.625
Keyword: state legislators	score: 3.625
Keyword: barbara turned	score: 3.6
Keyword: registered voters	score: 3.58333333333
Keyword: white voters	score: 3.58333333333
Keyword: minority voters	score: 3.58333333333
Keyword: registering voters	score: 3.58333333333
Keyword: deceiving voters	score: 3.58333333333
Keyword: perfect union	score: 3.5
Keyword: long march	score: 3.5
Keyword: young man	score: 3.5
Keyword: full protections	score: 3.5
Keyword: start explaining	score: 3.5
Keyword: high schools	score: 3.5
Keyword: bill called	score: 3.5
Keyword: standard required	score: 3.5
Keyword: inclusive generation	score: 3.5
Keyword: expose abuses	score: 3.5
Keyword: individual citizens	score: 3.5
Keyword: letting citizens	score: 3.5
Keyword: families coming	score: 3.5
Keyword: days ago	score: 3.5
Keyword: young senator	score: 3.5
Keyword: political system	score: 3.5
Keyword: long struggle	score: 3.5
Keyword: current system	score: 3.5
Keyword: texas affected	score: 3.46666666667
Keyword: south texas	score: 3.46666666667
Keyword: represent texas	score: 3.46666666667
Keyword: texas legislature	score: 3.46666666667
Keyword: disenfranchise people	score: 3.4
Keyword: 000 young people	score: 3.4
Keyword: young people	score: 3.4
Keyword: ann richards	score: 3.33333333333
