
Keyword: date plan	score: 3.58333333333
Keyword: experts thought	score: 3.5
Keyword: lead levels	score: 3.5
Keyword: public life	score: 3.5
Keyword: weeks ago	score: 3.5
Keyword: 25 percent tax	score: 3.5
Keyword: buying guns	score: 3.5
Keyword: real issue	score: 3.5
Keyword: white houseâ	score: 3.5
Keyword: fire lit	score: 3.5
Keyword: raised questions	score: 3.5
Keyword: big lead	score: 3.5
Keyword: horrible consequences	score: 3.5
Keyword: lady supported	score: 3.5
Keyword: single year	score: 3.5
Keyword: firm results	score: 3.5
Keyword: shooting incident	score: 3.5
Keyword: important issues	score: 3.5
Keyword: âsecretary clinton	score: 3.48106060606
Keyword: secretary clinton	score: 3.48106060606
Keyword: americans back	score: 3.46666666667
Keyword: iranian agreement	score: 3.42857142857
Keyword: charleston loopholes	score: 3.42857142857
Keyword: stay ahead	score: 3.33333333333
Keyword: finally asked	score: 3.33333333333
Keyword: past week	score: 3.33333333333
Keyword: potential pause	score: 3.33333333333
Keyword: amazing things	score: 3.33333333333
Keyword: started calling	score: 3.33333333333
Keyword: nation decision	score: 3.33333333333
Keyword: win iowa	score: 3.28571428571
Keyword: support proxies	score: 3.25
