
Keyword: start kind	score: 2.75
Keyword: people back	score: 2.71428571429
Keyword: build people	score: 2.67857142857
Keyword: affordable	score: 2.33333333333
Keyword: working	score: 2.25
Keyword: president	score: 2.2
Keyword: fundamental	score: 2.0
Keyword: free	score: 2.0
Keyword: americans	score: 2.0
Keyword: interests	score: 2.0
Keyword: supported	score: 2.0
